1;Back Press;"Back Press is an arm Fit Skill in which you put the Ring-Con behind your back and press on it.
Back Press is granted to the player via redeeming skill points in the Skill Tree's first tier of options.";2;220;1;;;1
2;Boat Pose;"Boat Pose is a yoga Fit Skill.
Boat Pose is granted to the player when it's found from a treasure chest in World 10.";3;155;5;;;4
3;Bow Pull;"Bow Pull is an arm Fit Skill. The player must stand with their feet shoulder width apart and raise the Ring-Con in front of their face and pull it as if drawing a bowstring. The Fit Skill requires the player to switch arms during the exercise.
Bow Pull is obtained at Level 17 in Adventure Mode.";2;35;5;;;1
4;Chair Pose;Chair Pose is a yoga Fit Skill in Ring Fit Adventure's Adventure Mode. It is granted to the player at the start of a new game in Adventure Mode.;1;30;1;"Entering Form :
Squat down slowly.
Raise the Ring-Con with both arms.

During Exercise :
To complete the exercise, the player, while keeping a squatting position, must lower down the Ring-Con with both hands slowly until the lotus flower fully opens up, afterwards they must raise the Ring-Con slowly. the player must this repeatedly until all reps have been completed.";https://static.wikia.nocookie.net/ringfitadventure/images/6/69/Chair.jpeg/revision/latest/scale-to-width-down/108?cb=20200401154913;4
5;Fan Pose;"The Fan Pose is a yoga Fit Skill.
The Fan Pose is granted to the player upon reaching Lv. 26.";3;4;0;"Entering Form :

Sit and extend your left leg diagonally.
Bend your right knee and pull your heel in.
Hold both arms straight up.

Ring's Tips :

You don't have to force your legs open!
Be sure to keep your upper body straight!";https://static.wikia.nocookie.net/ringfitadventure/images/7/71/Fan.jpeg/revision/latest/scale-to-width-down/161?cb=20200402010326;4
6;Flutter Kick;Flutter Kick is a stomach Fit Skill.;2;175;1;;;2
7;Front Press;"Front Press is a Fit Skill in Adventure Mode where the player holds the Ring-Con horizontally in front of them and presses in on it.
Front Press is an arm Fit Skill in Ring Fit Adventure's Adventure Mode. It is acquired by the player via reaching Lv. 5.";2;25;3;"Entering Form :
Stand with your feet shoulder width apart.
Hold the Ring-Con horizontally.

During Exercise :
To complete this exercise, the player needs to press in on the Ring-Con when it's horizontally in front of them.

Ring's Tips :
Press in on the Ring-Con as you breathe out!";https://static.wikia.nocookie.net/ringfitadventure/images/f/f2/Front.jpeg/revision/latest/scale-to-width-down/66?cb=20200401155107;1
8;Hinge Pose;"Hinge Pose is a yoga Fit Skill.
Hinge Pose is granted to the player upon reaching Lv. 53.";2;125;3;;;4
9;Hip Lift;"Hip Lift is a leg Fit Skill.
It is granted to the player upon reaching Lv. 44.";3;6;0;;;3
10;Knee Lift;"Knee Lift is a leg Fit Skill in Ring Fit Adventure's Adventure Mode. It is acquired by the player via reaching Lv. 11. It is the same variant of Knee-Lift Combo, but you perform a knee lift and then the Wide Squat move which can attack 3 enemies in one turn.
When climbing up on stairs, or traveling in water, to go faster, you can do knee lifts.";1;50;1;"Entering Form :
Stand with your feet shoulder width apart.
Raise both arms.

During Exercise :
To complete this exercise, the player needs to lift their legs up and down while lowering and raising their arms.

Ring's Tips :
Knee lifts can help with abdominal training as well!";;3
11;Knee-Lift Combo;"Knee-Lift Combo is a leg Fit Skill.
Knee-Lift Combo is granted to the player upon reaching Lv. 71.

Similar to Knee Lift, you lift your knees, then do a squat move and repeat.";3;165;3;;;3
12;Knee-to-Chest;"Knee-to-Chest is a stomach Fit Skill. The player must sit on the floor with their legs extended outwards using their hands to support their upper body. The player then raises both legs off the ground towards their chest before extending them again.
Knee-to-Chest is granted to the player at the start of a new game in Adventure Mode.

Knee-to-Chest_Demonstration
Knee-to-Chest Demonstration

";1;30;1;"Ring's Tips :
""Avoid doing this on a hard floor""";https://static.wikia.nocookie.net/ringfitadventure/images/5/54/Knee_To_Chest.jpg/revision/latest/scale-to-width-down/180?cb=20210320024315;2
