"Smoothie","Recovery","Effect","Selling Price","Description","Ingredients","Image"
"Spinach Smoothie","❤️","--","24","Fresh greens taste good. An invigorating and refreshing smoothie!","Spinach x2","https://static.wikia.nocookie.net/ringfitadventure/images/2/22/SpinachSmoothie.PNG"
"Super Spinach Smoothie","❤️❤️","--","36","Contains even more spinach than the regular Spinach Smoothie!","Spinach x3",""
"Strawberry Smoothie","--","[Battle] Red Attack power ^","30","Strawberries can be a real treat!","Strawberries x3",""
"Sesame Smoothie","--","[Course] Doubles ingredient drops","40","A delicious smoothie!","Bananas x1
White Sesame Seeds x2",""
"Milk Pudding","--","[Course] Makes jogging and knee lifts easier","40","Rich in calcium and vitamin B2.","Milk x2
Gelatin x1",""
"Grape Smoothie","--","[Battle] Blue Attack power ^","30","This smoothie doesn't skimp on the grapes.","Grapes x3",""
"Green Tea","--","[Battle] Green Attack power ^","30","Rich in tea catechins","Green Tea Leaves x3",""
"Banana Smoothie","--","[Battle] Yellow Attack power ^","30","A smoothie that uses a heaping helping of ripe bananas.","Bananas x3",""
"Pomegranate Juice","--","[Battle] Switches Fit Skill color to Red","30","A deep-red-colored drink that contains antioxidants!","Lemon x1
Pomegranate x2",""
"Tomato Smoothie","❤️","[Battle] Red Attack power ^","40","The color comes from a combination of beta-carotene and lycopene.","Tomato x2
Carrot x1",""
"Pomegranate Soda","❤️","[Battle] Switches Fit Skill color to Red","40","Carbonated water stimulates the reagents that are the secret to this drink's red color.","Pomegranate x2
Carbonated Water x1",""
"Apple Smoothie","--","[Battle] Red Attack power ^ + Switches Fit Skill color to Red","40","Both sweet and tasty!","Apple x2
Strawberries x2",""
"Apple & Onion Soup","--","[Battle] Red Attack power ^ + Defense power ^","40","The sweetness of apples and the onions makes a great combination","Apple x1
Onion x2",""
"Peach Smoothie","❤️❤️","[Battle] Drink after being defeated to revive","100","Uses the full-bodied flavor of peaches to bring smiles to anybody's lips.","Peach x3",""
"Carrot Soup","--","[Battle] Doubles EXP","20","The carrots make for a brightly colored, sweet soup that's also a source of beta-carotene","Carrot x4
Onion x3",""
"Pumpkin Soup","--","[Battle] Doubles Money","20","Most parts of a pumpkin are edible, including the shell, the seeds, and even the flowers.","Soy Milk x3
Pumpkin x2",""
"Blueberry Smoothie","--","[Battle] Switches Fit Skill color to Blue","30","The berries may be small, but each one is packed with taste!","Blueberries x2
Yogurt x1",""
"Raisin Milk","❤️1/2","[Battle] Blue Attack power ^","40","An iron-rich drink made with plenty of thick milk and sun-dried raisins.","Milk x2
Raisins x2",""
"Blueberry Soda","❤️1/2","[Battle] Switches Fit Skill color to Blue","40","Blueberries are a good source of vitamin K and vitamin C.","Blueberries x2
Carbonated Water x1",""
"Prune Smoothie","--","[Battle] Blue Attack power ^ + Switches Fit Skill color to Blue","40","Contains not just prunes but also grapes, for that added something extra.","Grapes x2
Prunes x2",""
"Prune & Yogurt Smoothie","--","[Battle] Blue Attack power ^ + Defense power ^","40","Characterized by the sweetness of the prunes and the sourness of the yogurt.","Prunes x1
Yogurt x2",""
"Cress Smoothie","❤️❤️1/2","--","30","Cress has a peppery, tangy flavor and aroma.","Cress x2",""
"Super Cress Smoothie","❤️❤️❤️❤️1/2","--","40","Contains even more cress than the regular Cress Smoothie!","Cress x3",""
"Apricot Smoothie","--","[Battle] Switches Fit Skill color to Yellow","30","Apricots are rich in beta-carotene.","Bananas x1
Apricot x2",""
"Apple-Cider Vinegar","❤️1/2","[Battle] Yellow Attack power ^","40","If you like sour tastes, this one's for you!","Apple x2
Vinegar x1",""
"Apricot Soda","❤️1/2","[Battle] Switches Fit Skill color to Yellow","40","Apricots have a full-bodied aroma and tangy flavor.","Carbonated Water x1
Apricot x2",""
"Lemon Smoothie","--","[Battle] Yellow Attack power ^ + Switches Fit Skill color to Yellow","40","Bananas and lemons both contain potassium!","Bananas x2
Lemon x2",""
"Honey Lemon","--","[Battle] Yellow Attack power ^ + Defense power ^","40","A drink that blends the heady sweetness of honey and the sourness of lemons.","Lemon x1
Honey x2",""
